event_id;device_id;timestamp;longitude;latitude
1;2,91827E+16;01/05/2016 0:55;121.38;31.24
2;-6,40164E+18;01/05/2016 0:54;103.65;30.97
3;-4,83398E+18;01/05/2016 0:08;106.60;29.70
4;-6,81512E+18;01/05/2016 0:06;104.27;23.28
5;-5,3738E+18;01/05/2016 0:07;115.88;28.66
7;5,99081E+18;01/05/2016 0:15;113.73;23.00
8;1,78245E+18;01/05/2016 0:15;113.94;34.70
10;-8,19582E+18;01/05/2016 0:41;119.34;26.04
11;8,66374E+18;01/05/2016 0:44;106.71;39.51
12;8,66374E+18;01/05/2016 0:45;106.71;39.51
13;8,64011E+18;01/05/2016 0:44;117.73;34.92
14;-5,3738E+18;01/05/2016 0:36;115.88;28.66
15;2,50441E+18;01/05/2016 0:40;120.62;31.31
17;-4,60438E+17;01/05/2016 0:06;118.44;24.71
18;2,27167E+18;01/05/2016 0:06;111.46;35.64
20;6,13011E+18;01/05/2016 0:17;129.51;42.91
21;8,54625E+18;01/05/2016 0:41;120.66;31.31
22;-1,66384E+18;01/05/2016 0:43;116.45;33.93
23;1,18661E+18;30/04/2016 23:56;113.58;23.55
24;-6,67288E+18;30/04/2016 23:57;87.59;43.82
25;-4,98446E+18;30/04/2016 23:58;120.07;31.75
26;4,83059E+18;01/05/2016 0:45;121.57;38.93
27;-2,66873E+18;01/05/2016 0:46;132.03;47.25
28;-7,74558E+18;01/05/2016 0:27;117.27;34.82
29;7,16656E+18;01/05/2016 0:31;117.96;28.47
31;-5,10645E+18;01/05/2016 0:29;108.62;34.09
32;1,68257E+18;01/05/2016 0:29;116.42;39.90
33;-4,99341E+18;01/05/2016 0:42;113.39;23.12
34;-2,30595E+18;01/05/2016 0:55;118.33;35.05
36;-6,4953E+18;01/05/2016 0:26;113.80;34.02
37;-2,11496E+18;01/05/2016 0:26;115.18;38.18
38;-7,69455E+18;30/04/2016 23:57;114.43;30.51
41;-2,10718E+18;01/05/2016 0:17;114.70;34.52
42;-8,2959E+18;01/05/2016 0:26;112.24;22.89
43;-3,86333E+18;01/05/2016 0:32;114.05;22.64
44;-4,71336E+18;01/05/2016 0:33;113.37;28.25
45;-7,7334E+18;01/05/2016 0:33;120.21;27.31
46;1,82836E+17;01/05/2016 0:16;114.33;22.69
47;8,97555E+18;01/05/2016 0:56;113.36;22.94
48;6,75229E+18;01/05/2016 0:10;113.93;23.11
49;7,76915E+18;01/05/2016 0:11;121.58;31.09
50;6,56237E+17;01/05/2016 0:11;114.94;26.79
51;3,6457E+18;01/05/2016 0:07;117.11;39.04
52;-8,05165E+17;30/04/2016 23:57;105.62;27.23
53;-4,04709E+18;30/04/2016 23:57;113.21;22.59
54;-7,86892E+18;30/04/2016 23:57;113.11;23.04
55;8,88463E+18;30/04/2016 23:58;104.15;35.95
56;-3,41463E+18;30/04/2016 23:55;114.44;36.64
57;8,29239E+18;30/04/2016 23:54;116.46;39.89
59;3,12967E+18;01/05/2016 0:50;116.30;39.75
60;5,8611E+18;01/05/2016 0:50;113.30;23.23
61;-1,59386E+18;01/05/2016 0:00;110.40;25.31
63;7,7002E+18;01/05/2016 0:45;121.88;29.47
65;-3,03826E+18;30/04/2016 23:57;113.35;23.06
66;-1,66788E+18;30/04/2016 23:57;119.76;36.68
67;8,17778E+18;01/05/2016 0:44;114.27;22.73
68;7,33703E+18;01/05/2016 0:29;110.92;35.12
70;8,25052E+18;01/05/2016 0:36;121.68;31.12
71;3,23904E+18;01/05/2016 0:37;118.37;33.68
72;-5,52622E+18;01/05/2016 0:38;124.83;45.13
73;-7,54361E+18;01/05/2016 0:39;102.74;25.13
75;-4,23401E+18;01/05/2016 0:20;113.43;23.39
76;-8,33835E+17;01/05/2016 0:00;114.30;30.52
80;-8,9314E+18;01/05/2016 0:17;119.81;36.23
81;-8,9314E+18;01/05/2016 0:18;119.81;36.23
83;-6,47061E+18;01/05/2016 0:27;120.35;30.29
84;7,33703E+18;01/05/2016 0:28;110.92;35.12
86;-7,19552E+18;01/05/2016 0:00;114.06;22.53
88;2,52949E+18;01/05/2016 0:40;114.47;38.10
89;-1,14018E+18;01/05/2016 0:41;123.01;41.14
91;-8,64014E+18;01/05/2016 0:52;120.30;36.66
92;8,81709E+17;01/05/2016 0:55;104.06;30.82
93;4,65355E+18;01/05/2016 0:31;113.91;35.33
95;7,79159E+18;01/05/2016 0:26;118.60;24.85
96;-8,96837E+18;01/05/2016 0:38;116.42;39.95
97;5,19329E+18;01/05/2016 0:39;121.36;37.58
98;-7,07022E+18;01/05/2016 0:23;0.54;0.59
100;1,63168E+17;01/05/2016 0:01;117.16;31.72
103;2,87229E+18;01/05/2016 0:03;113.86;22.58
106;-5,10533E+18;01/05/2016 0:07;108.33;22.87
107;5,45046E+16;01/05/2016 0:49;118.16;24.53
109;8,54625E+18;01/05/2016 0:53;120.66;31.31
