device_id;phone_brand;device_model
-8,89065E+18;小米;红米
1,27778E+18;小米;MI 2
5,13743E+18;三星;Galaxy S4
3,66946E+18;SUGAR;时尚手机
-5,01928E+18;三星;Galaxy Note 2
3,23801E+18;华为;Mate
-3,88353E+18;小米;MI 2S
-2,9722E+18;华为;G610S
-5,82795E+18;小米;MI One Plus
-8,26251E+18;vivo;S7I
5,84038E+18;三星;Galaxy S3
-5,77634E+18;小米;MI 2A
3,43771E+18;三星;Galaxy S3
-3,56833E+18;三星;Galaxy S3
5,56979E+17;小米;MI 2
5,6945E+18;小米;MI 3
6,32712E+18;华为;G520-0000
7,73249E+17;vivo;X5Pro
-6,86021E+17;小米;MI 2S
6,93661E+18;魅族;MX2
-3,87504E+18;三星;Galaxy Note 2
-6,96414E+18;小米;MI 2S
-3,02362E+16;小米;MI 2S
4,88799E+18;vivo;Xplay
7,2062E+18;三星;Galaxy Note 2
-3,962E+16;小米;MI 2S
7,22319E+18;酷派;7270
-3,998E+18;天语;Touch 3
2,52785E+18;OPPO;R2017
-3,15795E+18;三星;Galaxy Note 2
-6,08306E+18;中兴;795+
-4,08322E+18;酷派;大神Note
-4,52354E+18;vivo;Y3T
-5,91307E+18;三星;S7566
-2,33936E+18;小米;MI One Plus
4,10691E+18;金立;GN708W
-6,13324E+17;联想;乐檬K3 Note
-2,94346E+18;三星;Galaxy Note 2
-8,6175E+18;三星;Galaxy S4
8,74911E+18;小米;MI 1S
1,17036E+18;联想;A820t
-5,1554E+18;华为;荣耀3C
3,93389E+18;小米;红米
7,25788E+18;小米;MI 2A
1,23458E+18;三星;Galaxy S2
-4,73394E+18;三星;Galaxy S4
8,87974E+18;小米;MI 2A
-8,76338E+18;海信;EG966
-1,18364E+18;三星;Galaxy S2
3,37971E+18;小米;红米
-8,86443E+18;索尼;Xperia SL
-8,58458E+18;vivo;E5
-2,67277E+18;联想;乐檬K3 Note
-8,8204E+18;酷派;大神F1
-6,00298E+17;三星;Galaxy Mega 5.8
2,50846E+18;LG;G2
-5,89804E+18;小米;MI 2S
-1,65058E+18;小米;MI 2S
-5,27492E+18;vivo;X1ST
3,30556E+17;vivo;X3T
2,88386E+18;华为;G610S
3,51751E+17;vivo;X3T
6,40893E+18;酷派;7296
-3,62424E+18;三星;Galaxy Note
-1,01781E+17;三星;Galaxy Note 3
-4,38374E+18;小米;MI 3
6,75906E+18;vivo;Y19T
3,67104E+18;OPPO;U705T
-6,78333E+18;vivo;Xplay
-5,81742E+18;小米;红米
6,02409E+18;小米;红米1S
5,79834E+18;三星;Galaxy Note 2
3,75031E+17;索尼;Xperia Z
4,30347E+18;小米;MI 3
-3,19851E+18;OPPO;A11
-7,19591E+18;OPPO;Find 5
4,80474E+18;华为;荣耀畅玩4X
2,5275E+18;小米;MI 2S
7,40734E+18;小米;MI 2S
3,56961E+17;酷派;5216s
7,94036E+18;华为;Ascend P6
7,26101E+18;三星;Galaxy Grand DUOS
-1,02528E+18;三星;Galaxy Note 2
6,6663E+18;华为;荣耀7
-6,80399E+18;三星;Galaxy Note 2
1,39382E+18;联想;乐檬K3 Note
2,36539E+18;小米;红米note
-8,19446E+18;三星;Galaxy Note 2
-7,44592E+18;华为;G520-5000
-4,63309E+18;华为;G6-C00
-6,49717E+18;华为;G510
4,33825E+18;三星;Galaxy S3
